|circuitId|url|circuitName|Location.lat|Location.long|Location.locality|Location.country|season|round|date|time|race name|fastest|mean_s|median_s|std dev_s|mean_p|median_p|std dev_p
0|suzuka|http://en.wikipedia.org/wiki/2013_Japanese_Grand_Prix|Suzuka Circuit|34.8431|136.541|Suzuka|Japan|2013|15|2013-10-13|06:00:00Z|Japanese Grand Prix|90.915|92.35409090909091|91.9905|1.256967738688584|101.58289711168776|101.18297310674807|1.3825746452055023
0|buddh|http://en.wikipedia.org/wiki/2013_Indian_Grand_Prix|Buddh International Circuit|28.3487|77.5331|Uttar Pradesh|India|2013|16|2013-10-27|09:30:00Z|Indian Grand Prix|84.119|85.84045454545455|85.61500000000001|0.9853609794081866|102.0464515097119|101.77843293429547|1.1713893168109315
0|yas_marina|http://en.wikipedia.org/wiki/2013_Abu_Dhabi_Grand_Prix|Yas Marina Circuit|24.4672|54.6031|Abu Dhabi|UAE|2013|17|2013-11-03|13:00:00Z|Abu Dhabi Grand Prix|99.957|101.43590909090908|101.113|1.1719645658990474|101.4795452953861|101.15649729383635|1.1724687274518522
0|americas|http://en.wikipedia.org/wiki/2013_United_States_Grand_Prix|Circuit of the Americas|30.1328|-97.6411|Austin|USA|2013|18|2013-11-17|19:00:00Z|United States Grand Prix|96.338|98.3789090909091|98.13499999999999|1.3820269761370667|102.11848812608638|101.86530756295542|1.4345605847506333
0|interlagos|http://en.wikipedia.org/wiki/2013_Brazilian_Grand_Prix|Autódromo José Carlos Pace|-23.7036|-46.6997|São Paulo|Brazil|2013|19|2013-11-24|16:00:00Z|Brazilian Grand Prix|85.342|86.83881818181818|86.7655|0.9458557041044966|101.753905675773|101.66799465679269|1.1083120903007868
0|albert_park|http://en.wikipedia.org/wiki/2014_Australian_Grand_Prix|Albert Park Grand Prix Circuit|-37.8497|144.968|Melbourne|Australia|2014|1|2014-03-16|06:00:00Z|Australian Grand Prix|90.775|93.12238095238096|93.488|1.694657944134759|102.58593329923542|102.98870834480857|1.8668773826876968
0|sepang|http://en.wikipedia.org/wiki/2014_Malaysian_Grand_Prix|Sepang International Circuit|2.76083|101.738|Kuala Lumpur|Malaysia|2014|2|2014-03-30|08:00:00Z|Malaysian Grand Prix|117.183|120.57068181818181|120.279|2.1002518530691376|102.89093283000247|102.64202145362381|1.7922837383145493
0|bahrain|http://en.wikipedia.org/wiki/2014_Bahrain_Grand_Prix|Bahrain International Circuit|26.0325|50.5106|Sakhir|Bahrain|2014|3|2014-04-06|15:00:00Z|Bahrain Grand Prix|93.185|95.35313636363635|94.92949999999999|1.3853360017202818|102.3267010394767|101.87208241669795|1.4866512869241642
0|shanghai|http://en.wikipedia.org/wiki/2014_Chinese_Grand_Prix|Shanghai International Circuit|31.3389|121.22|Shanghai|China|2014|4|2014-04-20|07:00:00Z|Chinese Grand Prix|113.86|117.05204761904761|116.86|1.943087812637156|102.80348464697664|102.6348146847005|1.7065587674663236
0|catalunya|http://en.wikipedia.org/wiki/2014_Spanish_Grand_Prix|Circuit de Barcelona-Catalunya|41.57|2.26111|Montmeló|Spain|2014|5|2014-05-11|12:00:00Z|Spanish Grand Prix|85.232|87.79799999999999|87.685|1.4532129919595405|103.01060634503472|102.87802703210063|1.7050086727514793
